,Single_1,Alert types,OS,128GB 12GB RAM,Stand-by_1,3.5mm jack,Loudspeaker_1,Chipset,Call records,Status,Features_1,Display,128GB 8GB RAM,Browser,Talk time,Alarm,32GB 2GB RAM,Clock,_7,64GB 6GB RAM,256GB 8GB RAM,Music play,GPRS,EDGE,Radio,Charging,4G bands,Camera,Stand-by,64GB 4GB RAM,Price,_3,Keyboard,Dual,Single,Talk time_1,2G bands,Resolution,512GB 8GB RAM,128GB 4GB RAM,Announced,Technology,_1,SAR,_6,_8,GPU,Battery (new),Model Image,Size,Model Name,1TB 12GB RAM,64GB 3GB RAM,Phonebook,5G bands,Positioning,128GB 6GB RAM,Type_1,Java,Features,CPU,256GB 4GB RAM,SAR EU,_2,_9,SIM,Triple,Infrared port,Battery (old),16GB 2GB RAM,Card slot,Protection,Messaging,Dimensions,512GB 16GB RAM,Internal,USB,Models,512GB 12GB RAM,Loudspeaker,Bluetooth,_10,Games,Quad,Weight,WLAN,Video,Languages,Speed,Build,NFC,_5,16GB 1.5GB RAM,Brand,32GB 3GB RAM,256GB 12GB RAM,Audio quality,Colors,Type,Performance,Dual_1,3G bands,Video_1,_4,Sensors
"Video telephony & streamingMP3/AAC/AAC+/eAAC+/MP4 playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)BT printingOrganizerVoice memo",VGA videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 45 min,,,,,,,,,,No,,,,Up to 240 h,,About 140 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,220 x 176 pixels (~148 ppi density),,,"2006, August",GSM / UMTS,,1.39 W/kg (head)     0.95 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-z370.gif,"1.9 inches, 11.4 cm2(~20.3% screen-to-body ratio)",Samsung Z370,,,Yes,,No,,Removable Li-Ion 900 mAh battery,"Yes, MIDP 2.0",,,,0.99 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",112 x 50 x 8.4 mm (4.41 x 1.97 x 0.33 in),,20MB,1.1,,,Yes,"1.2, A2DP",,Yes + downloadable,,71 g (2.50 oz),No,Yes,,"Yes, 384 kbps",,,,,Samsung,,,,"Black, Silver, Violet","TFT, 256K colors",,,UMTS 2100,,,
Video telephony & streamingMP3/AAC/AAC+ playerPredictive text inputFlight modeOrganizerVoice memo,Videocall camera,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 4 h 30 min,,,,,,,,,,No,,,,Up to 200 h,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~134 ppi density),,,"2007, Q2. Released 2008",GSM / UMTS,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-z360.gif,"2.1 inches, 13.9 cm2(~30.1% screen-to-body ratio)",Samsung Z360,,,1000 entries,,No,,Removable Li-Ion 900 mAh battery,"Yes, MIDP 2.0",,,,0.73 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, MMS, Email",96.8 x 47.7 x 18.5 mm (3.81 x 1.88 x 0.73 in),,30MB,Proprietary,,,Yes,Yes,,Yes + downloadable,,95 g (3.35 oz),No,QCIF,,"Yes, 384 kbps",,,,,Samsung,,,,Black,"TFT, 256K colors",,,UMTS 2100,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 8 h,,,,,,,,Class 10,Yes,No,,,,Up to 215 h,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~148 ppi density),,,"2006, July",GSM,"MP3/AMR/ACC/ACC+ playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo",,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-p200.gif,"1.9 inches, 11.4 cm2(~27.2% screen-to-body ratio)",Samsung P200,,,"1000 entries, Photo call",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.42 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS, MMS, Email",95 x 44 x 22.5 mm (3.74 x 1.73 x 0.89 in),,80MB,1.1,,,No,No,,"Forgotten Warrior, Freekick, Arch Angel  + downloadable",,95 g (3.35 oz),"Wi-Fi 802.11 b/g, UMA",QCIF,,,,,,,Samsung,,,,Black,"TFT, 256K colors",,,,,,
"Second external STN display, 65K colors, 96 x 80 pixelsWallpaper",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"10 dialed, 10 received, 10 missed calls",Discontinued,,,,iMode,Up to 3 h 30 min,,,,,,,,Class 10,No,No,,,,Up to 210 h,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels,,,"2006, July",GSM,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-s501i.gif,,Samsung S501i,,,1000 entries,,No,,Removable Li-Ion 750 mAh battery,"Yes, DoJa 2.5",,,,,MP3/AAC/AAC+ playerOrganizer,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS",89.7 x 46 x 19.5 mm (3.53 x 1.81 x 0.77 in),,80MB,Proprietary,,,No,Yes,,1,,80 g (2.82 oz),No,CIF,,,,,,,Samsung,,,,Black,"TFT, 256K colors",,,,,,
"Second external STN display, 65K colors, 96 x 96 pixelsWallpaper",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"10 dialed, 10 received, 10 missed calls",Discontinued,,,,iMode,Up to 4 h,,,,,,,,Class 10,No,No,,,,Up to 200 h,,,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels,,,"2006, July",GSM,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-s401i.gif,,Samsung S401i,,,1000 entries,,No,,Removable Li-Ion 800 mAh battery,"Yes, DoJa 1.5",,,,,MP3/AAC playerOrganizer,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",88 x 44 x 19.8 mm (3.46 x 1.73 x 0.78 in),,25MB,Proprietary,,,No,Yes,,2,,75 g (2.65 oz),No,Yes,,,,,,,Samsung,,,,Black,"TFT, 65K colors",,,,,,
1 MB for pictures600 KB for ringtones100 KB for voice memo700 KB for MMS512 KB for Java,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 1.2,Up to 4 h,,,,,,,,Class 10,No,No,,,,Up to 320 h,,,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels (~114 ppi density),,,"2006, October",GSM,No,0.64 W/kg (head)     0.63 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x510.gif,"1.8 inches, 28 x 35 mm, 10.2 cm2(~26.3% screen-to-body ratio)",Samsung X510,,,500 entries,,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.78 W/kg (head),Predictive text inputOrganizerVoice memo,,Mini-SIM,,Yes,,,No,,"SMS, EMS, MMS",88 x 44 x 19 mm (3.46 x 1.73 x 0.75 in),,,No,,,Yes,No,,Yes,,75 g (2.65 oz),No,No,,,,,,,Samsung,,,,"Gold, Blue, Black, Red","UFB, 65K colors",,,,,,
"Second external monochrome OLED display, 16 shades, 80 x 64 pixelsWallpaper",,"Vibration; Downloadable polyphonic, MP3, AAC ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h 20 min,,,,,,,,Class 10,No,No,,,,Up to 340 h,,,,,,,,GSM 900 / 1800 / 1900,128 x 160 pixels (~114 ppi density),,,"2006, June",GSM,No,0.74 W/kg (head)     0.50 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x500.gif,"1.8 inches, 28 x 35 mm, 10.2 cm2(~25.7% screen-to-body ratio)",Samsung X500,,,"500 x 10 fields, Photo call",,No,,Removable Li-Ion 750 mAh battery,Yes,,,,0.86 W/kg (head),Predictive text inputOrganizerVoice memo,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",88 x 45 x 19.9 mm (3.46 x 1.77 x 0.78 in),,8MB,1.1,,,Yes,1.2,,Yes,,79 g (2.79 oz),No,,,,,,,,Samsung,,,,"Champagne Gold, Metallic Blue, Cool Gray, Pink","TFT, 65K colors",,,,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 30 min,,,,,,,,Class 10,Class 10,No,,,,Up to 250 h,,,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~189 ppi density)",,,"2006, June",GSM,"MP3/AAC/ACC+/WMA playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerTV-outVoice memo (up to 60 min)",0.60 W/kg (head)     0.47 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-d840.gif,"2.12 inches, 13.9 cm2(~27.6% screen-to-body ratio)",Samsung D840,,,"1000 entries, Photo call",,No,,Removable Li-Ion 700 mAh battery,"Yes, MIDP 2.0",LED flash,,,0.69 W/kg (head),,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",99 x 51 x 11.9 mm (3.90 x 2.01 x 0.47 in),,80MB,1.1,,,Yes,"1.2, A2DP",,Yes + downloadable,,100 g (3.53 oz),No,Yes,,,,,,,Samsung,,,,"Black, Silver","TFT, 256K colors",,,,,,
Wallpaper,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"10 dialed, 10 received, 10 missed calls",Discontinued,,,,WAP 1.2,Up to 6 h,,,,,,,,Class 10,No,No,,,,Up to 250 h,,,,,,VGA,,GSM 900 / 1800 / 1900,128 x 160 pixels,,,"2006, September",GSM,No,0.74 W/kg (head)     0.34 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c400.gif,,Samsung C400,,,1000 entries,,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.63 W/kg (head),Voice memoPredictive text inputOrganizer,,Mini-SIM,,,,,No,,"SMS, MMS",85.5 x 43.4 x 16 mm (3.37 x 1.71 x 0.63 in),,1.8MB,No,,,No,No,,Yes,,85 g (2.96 oz),No,No,,,,,,,Samsung,,,,Silver,"TFT, 65K colors",,,,,,
No,,Vibration; Polyphonic(16) ringtones,,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 1.2,Up to 5 h 50 min,,,,,,,,Class 10,No,FM radio,,,,Up to 360 h,,,,,,,,GSM 900 / 1800 / 1900,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",,,"2006, June",GSM,Predictive text inputOrganizerVoice memo,0.82 W/kg (head)     0.59 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c240.gif,"1.6 inches, 8.3 cm2(~18.7% screen-to-body ratio)",Samsung C240,,,500 entries,,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.42 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, MMS",104 x 42.5 x 15.6 mm (4.09 x 1.67 x 0.61 in),,1.2MB,No,,,Yes,No,,Yes,,68 g (2.40 oz),No,,,,,,,,Samsung,,,,Silver,"UFB, 65K colors",,,,,,
No,,Vibration; Polyphonic(16) ringtones,,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 30 min,,,,,,,,Class 10,No,No,,,,Up to 270 h,,,,,,,,GSM 900 / 1800,"128 x 128 pixels, 1:1 ratio (~119 ppi density)",,,"2007, July",GSM,Predictive text inputOrganizerVoice memo,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c180.gif,"1.52 inches, 7.5 cm2(~16.9% screen-to-body ratio)",Samsung C180,,,500 entries,,No,,Removable Li-Ion 730 mAh battery,No,,,,0.93 W/kg (head),,,Mini-SIM,,,,,No,,SMS,105 x 42 x 8.9 mm (4.13 x 1.65 x 0.35 in),,2MB,No,,,Yes,Yes,,Yes,,72 g (2.54 oz),No,,,,,,,,Samsung,,,,Black,"CSTN, 65K colors",,,,,,
No,,Vibration; Polyphonic(16) ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 1.2,Up to 2 h 30 min,,,,,,,,Class 10,No,FM radio,,,,Up to 270 h,,About 40 EUR,,,,,,GSM 900 / 1800,"128 x 128 pixels, 1:1 ratio (~119 ppi density)",,,"2007, May",GSM,Predictive text inputOrganizerVoice memo,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c170.gif,"1.52 inches, 7.5 cm2(~16.9% screen-to-body ratio)",Samsung C170,,,500 entries,,No,,Removable Li-Ion 730 mAh battery,No,,,,0.96 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS",105 x 42 x 8.9 mm (4.13 x 1.65 x 0.35 in),,600 KB,No,,,Yes,No,,Yes,,67 g (2.36 oz),No,,,,,,,,Samsung,,,,"Red, Black, Gray, Blue","CSTN, 65K colors",,,,,,
No,,Vibration; Polyphonic(16) ringtones,,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 30 min,,,,,,,,Class 10,No,FM radio,,,,Up to 180 h,,About 40 EUR,,,,,,GSM 900 / 1800,"128 x 128 pixels, 1:1 ratio (~121 ppi density)",,,"2007, February",GSM,Predictive text inputOrganizer,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c160.gif,"1.5 inches, 7.3 cm2(~15.7% screen-to-body ratio)",Samsung C160,,,500 entries,,No,,Removable Li-Ion 800 mAh battery,No,,,,1.24 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",106.5 x 43.5 x 15.4 mm (4.19 x 1.71 x 0.61 in),,600 KB,No,,,Yes,No,,No,,70 g (2.47 oz),No,,,,,,,,Samsung,,,,Imperial Black,"CSTN, 65K colors",,,,,,
No,,Vibration; Downloadable polyphonic ringtones,,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 1.2.1,Up to 5 h,,,,,,,,Class 10,No,No,,,,Up to 490 h,,About 70 EUR,,,,,,GSM 900 / 1800,"128 x 128 pixels, 1:1 ratio (~113 ppi density)",,,"2007, January",GSM,Predictive text inputOrganizerVoice memo,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c140.gif,"1.6 inches, 8.3 cm2(~17.9% screen-to-body ratio)",Samsung C140,,,500 entries,,No,,Removable Li-Ion 800 mAh battery,No,,,,0.97 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS",104.2 x 44.2 x 16.2 mm (4.10 x 1.74 x 0.64 in),,600 KB,No,,,Yes,No,,No,,71 g (2.50 oz),No,,,,,,,,Samsung,,,,"Misty Gray, Light Gray","UFB, 65K colors",,,,,,
Second external 16 gray display (96 x 16 pixels)Wallpaper,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 30 min,,,,,,,,Class 10,Class 10,No,,,,Up to 210 h,,,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~174 ppi density)",,,"2006, June",GSM,No,0.16 W/kg (head)     0.47 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-d830.gif,"2.3 inches, 36 x 47 mm, 16.4 cm2(~29.5% screen-to-body ratio)",Samsung D830,,,"1000 x 10 fields, Photo call",,No,,Removable Li-Ion 630 mAh battery,"Yes, MIDP 2.0",,,,0.34 W/kg (head),"MP3/AAC/ACC+/WMA playerPredictive text inputBluetooth printingOrganizerDocument viewer (Word, Excel, PowerPoint, PDF)TV-outVoice memo",,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",103 x 54 x 9.9 mm (4.06 x 2.13 x 0.39 in),,80MB,Proprietary,,,Yes,"1.2, A2DP",,Yes,,85 g (3.00 oz),No,CIF,,,,,,,Samsung,,,,"Black/Blue, Black, Red/Silver","TFT, 256K colors",,,,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 6 h 30 min,,,,,,,,Class 10,Class 10,FM radio,,,,Up to 320 h,,About 90 EUR,,,,"3.15 MP, AF",,GSM 850 / 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,2007,GSM,3D sound speaker,0.45 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-d900i.gif,"2.1 inches, 32 x 42 mm, 13.7 cm2(~25.9% screen-to-body ratio)",Samsung D900i,,,"1000 entries, Photo call",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",LED flash,,,0.64 W/kg (head),MP3/AAC/ACC+ playerPredictive text inputOrganizerTV-outVoice memo,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",103.5 x 51 x 12.9 mm (4.07 x 2.01 x 0.51 in),,60MB,1.1,,,Yes,"2.0, A2DP",,Yes + downloadable,,85 g (3.00 oz),No,CIF,,,,,,,Samsung,,,,"Black, Wine-Red","TFT, 256K colors",,,,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 6 h 30 min,,,,,,,,Class 10,Class 10,No,,,,Up to 260 h,,About 130 EUR,,,,"3.15 MP, AF",,GSM 850 / 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,"2006, June",GSM,3D sound speaker,1.04 W/kg (head)     0.66 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-d900.gif,"2.1 inches, 32 x 42 mm, 13.7 cm2(~25.9% screen-to-body ratio)",Samsung D900,,,"1000 entries, Photo call",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",LED flash,,,0.82 W/kg (head),"MP3/AAC/ACC+ playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerTV-outVoice memo",,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",103.5 x 51 x 12.9 mm (4.07 x 2.01 x 0.51 in),,60MB,1.1,,,Yes,"2.0, A2DP",,Yes + downloadable,,85 g (3.00 oz),No,CIF,,,,,,,Samsung,,,,"Black/Silver, Blue, Red/Gray","TFT, 256K colors",,,,,,
3.7 MB for messages,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 2 h 30 min,,,,,,,,Class 10,Class 10,No,,,,Up to 210 h,,About 110 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,220 x 176 pixels (~157 ppi density),,,"2006, May",GSM,No,1.19 W/kg (head)     0.28 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-x820.gif,"1.8 inches, 35 x 28 mm, 10.2 cm2(~18.0% screen-to-body ratio)",Samsung X820,,,"1000 entries, Photocall",,No,,Removable Li-Po 630 mAh battery,"Yes, MIDP 2.0",,,,0.64 W/kg (head),"MP3/AAC/AAC+ playerPredictive text inputOrganizerDocument viewer (Word, Excel, PowerPoint, PDF)TV-outVoice memo",,Mini-SIM,,,,,No,,"SMS, EMS, MMS, Email",113 x 50 x 6.9 mm (4.45 x 1.97 x 0.27 in),,80MB,Proprietary,,,Yes,"1.2, A2DP",,Yes + downloadable,,66 g (2.33 oz),No,CIF,,,,,,,Samsung,,,,"Black/Blue, Silver, Pink","TFT, 256K colors",,,,,,
No,,Vibration; Polyphonic(16) ringtones,,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 1.2.1,Up to 5 h 20 min,,,,,,,,Class 8,No,No,,,,Up to 445 h,,About 50 EUR,,,,,,GSM 900 / 1800,"128 x 128 pixels, 1.5 inch, 1:1 ratio (~113 ppi density)",,,"2006, May",GSM,Predictive text inputOrganizerVoice memo,,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-c130.gif,"1.6 inches, 8.3 cm2(~17.8% screen-to-body ratio)",Samsung C130,,,500 entries,,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.86 W/kg (head),,,Mini-SIM,,,,,No,,"SMS, EMS, MMS",102.4 x 45.4 x 14.8 mm (4.03 x 1.79 x 0.58 in),,1.8MB,No,,,Yes,No,,Yes,,75 g (2.65 oz),No,,,,,,,,Samsung,,,,"Orange, Pink, Silver, Blue","CSTN, 65K colors",,,,,,
"Second external OLED display, 65K colors (80 x 64 pixels)Wallpaper",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"10 dialed, 10 received, 10 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 6 h,,,,,,,,Class 10,Class 10,No,,,,Up to 270 h,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~160 ppi density),,,"2006, May",GSM,No,0.85 W/kg (head)     0.12 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/sse500.gif,"1.76 inches, 9.7 cm2(~25.8% screen-to-body ratio)",Samsung E500,,,1000 entries,,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",,,,0.57 W/kg (head),MP3/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,,Mini-SIM,,,,,No,,"SMS, MMS, Email",85 x 44.5 x 21.9 mm (3.35 x 1.75 x 0.86 in),,60MB,1.1,,,Yes,"2.0, A2DP",,"Cannonball, Bejeweled-T&B, Lemmings, Tetris-T&B",,77 g (2.72 oz),No,Yes,,,,,,,Samsung,,,,,"TFT, 256K colors",,,,,,
"Second external CSTN, 65K colors display, 96 x 96 pixelsWallpaper",,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"10 dialed, 10 received, 10 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h 50 min,,,,,,,,Class 10,Class 10,No,,,,Up to 320 h,,,,,,1.3 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels (~148 ppi density),,,"2006, July",GSM,No,1.16 W/kg (head)     0.58 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e380.gif,"1.9 inches, 30 x 37 mm, 11.4 cm2(~26.6% screen-to-body ratio)",Samsung E380,,,1000 entries,,No,,Removable Li-Ion 750 mAh battery,"Yes, MIDP 2.0",,,,0.91 W/kg (head),MP3/AMR/AAC/AAC+ playerPredictive text inputOrganizerVoice memo,,Mini-SIM,,,,,No,,"SMS, EMS, MMS, Email",93 x 46 x 16.8 mm (3.66 x 1.81 x 0.66 in),,40MB,1.1,,,Yes,"2.0, A2DP",,Yes,,77 g (2.72 oz),No,Yes,,,,,,,Samsung,,,,"Champagne Gold, Scarlet Red, Ice Blue","TFT, 65K colors",,,,,,
No,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,Yes,No,,,,,,,,,,3.15 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~190 ppi density)",,,"2006, March",GSM,"MP3/MP4/AAC playerPredictive text inputSyncMLDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerTV-out",,,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-d870.gif,"2.1 inches, 32 x 42 mm, 13.7 cm2(~25.9% screen-to-body ratio)",Samsung D870,,,Yes,,No,,Removable battery,"Yes, MIDP 2.0",LED flash,,,,,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",103.5 x 51 x 13 mm (4.07 x 2.01 x 0.51 in),,80MB,Proprietary,,,No,Yes,,Yes + downloadable,,93 g (3.28 oz),No,Yes,,,,,,,Samsung,,,,Black,"TFT, 256K colors",,,,,,
"Second external display OLED, 65K colors (80 x 64 pixels)",,Vibration; Downloadable polyphonic ringtones,,,,No,,,"20 dialed, 20 received, 20 missed calls",Cancelled,,,,WAP 2.0/xHTML,,,,,,,,,Class 10,Yes,No,,,,,,,,,,2 MP,,GSM 900 / 1800 / 1900,176 x 220 pixels,,,"2006, March",GSM,No,0.48 W/kg (head)     0.35 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-d780.gif,,Samsung D780 flip,,,Yes,,No,,Removable battery,"Yes, MIDP 2.0",,,,0.78 W/kg (head),"MP3/AAC/AAC+/AMR playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerVoice memo",,Mini-SIM,,,,,No,,"SMS, EMS, MMS, Email",94 x 48 x 15.5 mm (3.70 x 1.89 x 0.61 in),,80MB,Proprietary,,,"Yes, with stereo speakers",Yes,,Yes + downloadable,,87 g (3.07 oz),No,Yes,,,,,,,Samsung,,,,,"TFT, 65K colors",,,,,,
Touch-sensitive control pad,,"Vibration; Downloadable polyphonic, MP3 ringtones",,,,No,,,"30 dialed, 30 received, 30 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 3 h 30 min,,,,,,,,Class 10,Class 10,No,,,,Up to 220 h,,About 120 EUR,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,"2006, March",GSM,No,0.26 W/kg (head)     0.48 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-e900.gif,"2.0 inches, 30 x 40 mm, 12.4 cm2(~29.6% screen-to-body ratio)",Samsung E900,,,"1000 x 12 fields, Photo call",,No,,Removable Li-Ion 800 mAh battery,"Yes, MIDP 2.0",LED flash,,,0.35 W/kg (head),"MP3/AAC/ACC+/WMA playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)OrganizerFlight modeTV-outVoice memo",,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",93 x 45 x 16.5 mm (3.66 x 1.77 x 0.65 in),,80MB,Proprietary,,,Yes,"1.2, A2DP",,Yes + downloadable,,93 g (3.28 oz),No,CIF,,,,,,,Samsung,,,,"Black, Silver, Gold","TFT, 256K colors",,,,,,
"Video telephony & streamingMP3/AAC/ACC+ playerPredictive text inputDocument viewer (Word, Excel, PowerPoint, PDF)Organizer",VGA videocall camera,"Vibration, MP3 ringtones",,,,No,,,"20 dialed, 20 received, 20 missed calls",Discontinued,,,,WAP 2.0/xHTML,Up to 5 h,,,,,,,,,,No,,,,Up to 400 h,,,,,,2 MP,,GSM 900 / 1800 / 1900,"240 x 320 pixels, 4:3 ratio (~200 ppi density)",,,"2006, March",GSM / UMTS,,1.36 W/kg (head)     0.94 W/kg (body),,,,,https://fdn2.gsmarena.com/vv/bigpic/samsung-z400.gif,"2.0 inches, 30 x 40 mm, 12.4 cm2(~26.8% screen-to-body ratio)",Samsung Z400,,,Yes,,No,,Removable battery,No,,,,,,,Mini-SIM,,,,,microSD (dedicated slot),,"SMS, EMS, MMS, Email",96.7 x 47.8 x 19.2 mm (3.81 x 1.88 x 0.76 in),,30MB,Proprietary,,,Yes,"1.2, A2DP",,Yes + downloadable,,107 g (3.77 oz),No,Yes,,"Yes, 384 kbps",,,,,Samsung,,,,"Silver, Black","TFT, 256K colors",,,UMTS 2100,,,
