,Charging,Display,Protection,Models,Loudspeaker,Talk time,SAR EU,Size,3G bands,4G bands,Loudspeaker_1,Features,Talk time_1,Status,Radio,Camera,Chipset,Brand,Type,Bluetooth,Type_1,Java,_3,Model Name,Price,Announced,Sensors,_4,NFC,USB,Dual_1,WLAN,GPU,EDGE,Internal,SAR,5G bands,Dimensions,Video,Single,_1,Card slot,Games,Battery (old),_5,Music play,Speed,Colors,Performance,Keyboard,Technology,Alert types,Infrared port,Features_1,Audio quality,256GB 8GB RAM,256GB 12GB RAM,Model Image,Positioning,Browser,Stand-by_1,Stand-by,2G bands,Dual,OS,SIM,_6,Phonebook,Weight,Single_1,Resolution,CPU,GPRS,_2,Messaging,Call records,Quad,Video_1,Triple,Build,3.5mm jack
No,,,Corning Gorilla Glass,,Yes,Up to 3 h 30 min,,"3.2 inches, 30.5 cm2(~48.2% screen-to-body ratio)",CDMA2000 1xEV-DO,,,,,Discontinued,No,,Qualcomm MSM7600,HTC,"TFT,  256K colors","2.0, A2DP",Removable Li-Ion 1300 mAh battery,,,HTC DROID ERIS,About 80 EUR,"2009, October. Released 2009, November","Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g,,,288MB RAM; 512MB,1.19 W/kg (head),,113 x 56 x 13 mm (4.45 x 2.20 x 0.51 in),Yes,"5 MP, AF",Dedicated search keyMP3/eAAC+/WAV/WMA playerMP4/H.264/WMV playerVoice memo/dial/commandsPredictive text input,"microSDHC (dedicated slot), 8 GB included",,,,,EV-DO Rev.A 3.1 Mbps,Black,,,CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-droid-eris.jpg,"GPS, A-GPS",HTML,,Up to 373 h,CDMA 800 / 1900,,"Android 2.1 (Eclair), Sense UI",Mini-SIM,,,120 g (4.23 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",528 MHz ARM 11,,,,,,,,,Yes
TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,,,,,Yes,Up to 5 h 40 min,,"3.2 inches, 29.1 cm2(~50.9% screen-to-body ratio)",HSDPA 850 / 1900,,,,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7201A,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1100 mAh battery,,,HTC Pure,About 80 EUR,"2009, October. Released 2009, October",Accelerometer,,,miniUSB,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",1.51 W/kg (head)     1.43 W/kg (body),,108 x 53 x 13.7 mm (4.25 x 2.09 x 0.54 in),480p@15fps,"5 MP, AF",MP3/WAV/WMA/eAAC+ playerMP4/WMV/H.264 playerFacebook and Twitter integrationYouTube clientPocket OfficeVoice memo/dialPredictive text input,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-pure.jpg,"GPS, A-GPS",HTML,,Up to 360 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.5 Professional,Mini-SIM,,,117.5 g (4.13 oz),VGA videocall camera,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",528 MHz ARM 11,,,,,,,,,No
No,,,,,Yes,Up to 6 h 30 min (2G) / Up to 5 h 40 min (3G),,"2.8 inches, 24.3 cm2(~41.5% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 75dB / Noise 66dB / Ring 75dB,,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7225 Snapdragon S1,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1100 mAh battery,,,HTC Tattoo,About 60 EUR,"2009, September. Released 2009, September","Accelerometer, compass",,,miniUSB,,Wi-Fi 802.11 b/g,No,,"256MB RAM, 512MB",1.25 W/kg (head)     1.74 W/kg (body),,106 x 55.2 x 14 mm (4.17 x 2.17 x 0.55 in),CIF@15fps,3.15 MP,Dedicated search keyScenes quick profile switcherMP3/eAAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerVoice memoPredictive text input,microSD (dedicated slot),,,,,HSPA 7.2/0.384 Mbps,"Brown, White, Graphite, Black, Violet",,,GSM / HSPA,,,,Noise -84.8dB / Crosstalk -84.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-tatoo.jpg,"GPS, A-GPS",HTML,,Up to 340 h (2G) / Up to 520 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 1.6 (Donut), Sense UI",Mini-SIM,,,113 g (3.99 oz),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",528 MHz ARM 11,,,,,,,,,Yes
TouchFLO finger swipe navigationTouch-sensitive zoom bar,,,,,Yes,Up to 7 h 30 min (2G) / Up to 6 h 10 min (3G),,"2.8 inches, 24.3 cm2(~42.4% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 75dB / Noise 75dB / Ring 82dB,,,Discontinued,"Stereo FM radio, RDS",Photo,Qualcomm MSM7225 Snapdragon S1,HTC,"TFT resistive touchscreen, 65K colors","2.1, A2DP",Removable Li-Ion 1000 mAh battery,,,HTC Touch2,About 90 EUR,"2009, September. Released 2009, September",,,,miniUSB 2.0,,Wi-Fi 802.11 b/g,No,,"256MB RAM, 512MB ROM",0.83 W/kg (head)     1.07 W/kg (body),,104 x 55 x 12.9 mm (4.09 x 2.17 x 0.51 in),CIF@30fps,3.15 MP,No,microSDHC (dedicated slot),,,,,HSPA 7.2/0.384 Mbps,"Black, Brown, Silver",,,GSM / HSPA,,,,Noise -84.6dB / Crosstalk -84.9dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-touch2-new.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML (Opera 9.5)",,Up to 500 h (2G) / Up to 370 h (3G),GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.5 Professional,Mini-SIM,,,110 g (3.88 oz),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",528 MHz ARM 11,,MP3/WAV/eAAC+/WMA playerMP4/WMV/AVI/H.264 playerPocket OfficeOrganizerVoice memoPredictive text input,,,,,,,Yes
Trackball,,,,,Yes,Up to 4 h 10 min,,"3.2 inches, 30.5 cm2(~48.2% screen-to-body ratio)",CDMA2000 1xEV-DO,,,,,Discontinued,No,,Qualcomm MSM7200A,HTC,"TFT, 65K colors","2.0, A2DP",Removable Li-Ion 1500 mAh battery,,,HTC Hero CDMA,About 80 EUR,"2009, August. Released 2009, October","Accelerometer, compass",,,miniUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB",0.71 W/kg (head)     1.13 W/kg (body),,113 x 56 x 14 mm (4.45 x 2.20 x 0.55 in),Yes,"5 MP, AF",No,microSD (dedicated slot),,,,,EV-DO Rev.A 3.1 Mbps,Silver,,,CDMA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-hero-cdma.jpg,"GPS, A-GPS",HTML,,Up to 360 h,CDMA 800 / 1900,,"Android 2.1 (Eclair), Sense UI",Mini-SIM,,,128 g (4.52 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",528 MHz ARM 11,,Dedicated search keyMP3/AAC+/WAV/WMA playerMP4/H.264/WMV playerOrganizerVoice memo/dial/commandsPredictive text input,,,,,,,Yes
Trackball,,,Corning Gorilla Glass,,Yes,Up to 8 h (2G) / Up to 7 h (3G),,"3.2 inches, 30.5 cm2(~48.4% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 76dB / Noise 71dB / Ring 77dB,,,Discontinued,No,Photo,Qualcomm MSM7200A,HTC,"TFT, 65K colors","2.0, A2DP",Removable Li-Ion 1350 mAh battery,,,HTC Hero,About 100 EUR,"2009, June. Released 2009, July","Accelerometer, compass",,,miniUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB",1.21 W/kg (head)     1.51 W/kg (body),,112 x 56.2 x 14.4 mm (4.41 x 2.21 x 0.57 in),CIF@15fps,"5 MP, AF",No,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,"Brown, White (teflon coating), Graphite, Black, Pink",,,GSM / HSPA,,,,Noise -91.3dB / Crosstalk -95.8dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-hero.jpg,"GPS, A-GPS",HTML,,Up to 440 h (2G) / Up to 750 h (3G),GSM 850 / 900 / 1800 / 1900,,"Android 1.5 (Cupcake), Sense UI",Mini-SIM,,,135 g (4.76 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",528 MHz ARM 11,,MP3/AAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerOrganizerVoice memoPredictive text input,,,,,,,Yes
CDMA2000 800 / 1900,,,,,Yes,8 h 30 min (2G) / 4 h 50 min (3G),,"2.4 inches, 17.8 cm2(~24.6% screen-to-body ratio)",1x EV-DO 800 / 1900,,,,,Discontinued,No,,,HTC,"TFT, 65K colors","2.0, A2DP",Removable Li-Ion 1500 mAh battery,,MP3/AAC playerPocket OfficePredictive text inputOrganizer,HTC Ozone,About 80 EUR,"2009, March. Released 2009, June",,,,Proprietary,,Wi-Fi 802.11b/g,,Class 10,"192MB RAM, 256MB ROM",0.21 W/kg (head)     1.03 W/kg (body),,114.3 x 63.5 x 12.7 mm (4.5 x 2.5 x 0.5 in),Yes,2 MP,Trackball,microSDHC (dedicated slot),,,,,EV–DO Rev. A,Black,,QWERTY,GSM,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-ozone.jpg,"GPS, A-GPS; VZ Navigator","WAP 2.0/xHTML, HTML (PocketIE)",,Up to 380 h (2G) / 324 h (3G),GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Standard,Mini-SIM,,,105 g (3.70 oz),,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",528 MHz,Class 10,No,,,,,,,No
No,,,,,Yes,,,,HSDPA 900 / 2100,,,,,Discontinued,,,Qualcomm QSD8250 Snapdragon S1,HTC,TFT,"2.1, A2DP",Removable Li-Ion battery,,,HTC Schubert,,Not officially announced yet,"Accelerometer, proximity",,,microUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 200,,,,,-,Yes,Yes,MP3/AAC+/WAV/WMA9 playerMP4/H.264/WMV9 playerOrganizerDocument viewer/editorVoice memoPredictive text input,No,,,,,HSPA,Black,,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-schubert.jpg,,HTML,,,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Phone 7,Mini-SIM,,,-,,,1.0 GHz Scorpion,,,,,,,,,Yes
UMTS 850 / 1900 - North America,,,,,Yes,8 h 30 min (2G) / 5 h (3G),,"2.4 inches, 17.8 cm2(~24.9% screen-to-body ratio)",UMTS 900 / 2100,,,,,Discontinued,No,,,HTC,"TFT, 65K colors","2.0, A2DP",Removable Li-Ion 1500 mAh battery,,MP3/AAC playerPocket OfficePredictive text inputOrganizer,HTC Snap,About 100 EUR,"2009, March. Released 2009, June",,,,Proprietary,,Wi-Fi 802.11b/g,,,"192MB RAM, 256MB ROM",0.21 W/kg (head)     1.03 W/kg (body),,116.5 x 61.5 x 12 mm (4.59 x 2.42 x 0.47 in),Yes,2 MP,Trackball,microSDHC (dedicated slot),,,,,HSPA 7.2/0.384 Mbps,Brown,,QWERTY,GSM / UMTS,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-snap.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML (PocketIE)",,Up to 380 h (2G) / 480 h (3G),GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Standard,Mini-SIM,,,120 g (4.23 oz),,"320 x 240 pixels, 4:3 ratio (~167 ppi density)",528 MHz,,No,,,,,,,No
HSDPA 1700 / 2100 - American version,,,,,Yes,Up to 7 h 30 min,,"3.2 inches, 30.5 cm2(~49.1% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 70dB / Noise 69dB / Ring 79dB,,,Discontinued,No,Photo,Qualcomm MSM7200A,HTC,"TFT, 65K colors","2.0, A2DP (headset support only)",Removable Li-Ion 1340 mAh battery,,Voice memoMP3 playerMP4/3gp playerPredictive text input,HTC Magic,About 90 EUR,"2009, February. Released 2009, May","Accelerometer, compass",,,miniUSB,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB",0.95 W/kg (head)     1.87 W/kg (body),,113 x 55 x 13.7 mm (4.45 x 2.17 x 0.54 in),320p@15fps,"3.15 MP, AF",Trackball,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,"White, Black",,,GSM / HSPA,,,,Noise -85.6dB / Crosstalk -86.0dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-magic.jpg,GPS,HTML,,Up to 420 h,GSM 850 / 900 / 1800 / 1900,,Android 1.6 (Donut),Mini-SIM,,,118.5 g (4.16 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",528 MHz ARM 11,,No,,,,,,,No
CDMA 800 / 1900,,,,,Yes,Up to 5 h 20 min,,"3.6 inches, 36.9 cm2(~53.9% screen-to-body ratio)",HSDPA 2100,,,,,Discontinued,No,,Qualcomm MSM7200A,HTC,"TFT resistive touchscreen, 65K colors","2.1, A2DP",Removable Li-Ion 1500 mAh battery,,No,HTC Touch Pro2 CDMA,About 120 EUR,"2009, May. Released 2009, September",Accelerometer,Pocket OfficeMP4/AVI/H.264/WMV playerMP3/WAV/WMV/AAC+ playerTV-outOrganizerVoice memoPredictive text input,,miniUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",1.41 W/kg (head)     0.58 W/kg (body),,116 x 59 x 17 mm (4.57 x 2.32 x 0.67 in),Yes,"3.15 MP, AF",CDMA2000 1xEV-DO,microSD (dedicated slot),,,,,"HSPA 7.2/2 Mbps, EV-DO Rev.A 3.1 Mbps",Black/Grey,,QWERTY,GSM / CDMA / HSPA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-touch-pro2-cdma.jpg,"GPS, A-GPS",HTML,,Up to 324 h,GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Mobile 6.1 Professional, upgradable to Windows Mobile 6.5",Mini-SIM,,,180 g (6.35 oz),,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",528 MHz ARM 11,,TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,,,,,,,Yes
HSDPA 850 / 1900 / 2100,,,,,Yes,Up to 8 h 30 min (2G) / Up to 6 h 30 min (3G),,"3.6 inches, 36.9 cm2(~53.7% screen-to-body ratio)",,,,,,Discontinued,"Factory locked by default, can be enabled",,Qualcomm MSM7200A,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1500 mAh battery,,Pocket OfficeVoice memoMP3 playerTV-outPTT button,HTC Tilt2,About 90 EUR,"2009, February. Released 2009, May",Accelerometer,,,miniUSB,,Wi-Fi 802.11 b/g,Adreno 130,Class 10,"288MB RAM, 512MB ROM",1.16 W/kg (head),,116 x 59.2 x 17.3 mm (4.57 x 2.33 x 0.68 in),480p,"3.15 MP, AF",TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,Black/Grey,,QWERTY,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-tilt2-new.jpg,GPS,HTML,,Up to 500 h (2G) / Up to 750 h (3G),GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Mobile 6.1 Professional, upgradable to Windows Mobile 6.5",Mini-SIM,,,178.5 g (6.28 oz),,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",528 MHz ARM 11,Class 10,No,,,,,,,No
HSDPA 850 / 1900 / 2100,,,,,Yes,Up to 8 h 30 min (2G) / Up to 6 h 30 min (3G),1.20 W/kg (head),"3.6 inches, 36.9 cm2(~53.7% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 74dB / Noise 70dB / Ring 78dB,,,Discontinued,"Factory locked by default, can be enabled",,Qualcomm MSM7200A,HTC,"TFT resistive touchscreen, 65K colors","2.1, A2DP",Removable Li-Ion 1500 mAh battery,,Pocket OfficeVoice memoMP3 playerTV-out,HTC Touch Pro2,About 120 EUR,"2009, February. Released 2009, May",Accelerometer,,,miniUSB,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",0.68 W/kg (head)     1.87 W/kg (body),,116 x 59.2 x 17.3 mm (4.57 x 2.33 x 0.68 in),480p,"3.15 MP, AF",HSDPA 1700 / 2100,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,Black/Grey,,QWERTY,GSM / HSPA,,,,Noise -84.6dB / Crosstalk -84.9dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-touch-pro2.jpg,GPS,HTML,,Up to 500 h (2G) / Up to 750 h (3G),GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Mobile 6.1 Professional, upgradable to Windows Mobile 6.5",Mini-SIM,,,178.5 g (6.28 oz),VGA videocall camera,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",528 MHz ARM 11,,TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,,,,,,,No
CDMA 800 / 1900,,,,,Yes,Up to 5 h 50 min,,"3.6 inches, 36.9 cm2(~50.6% screen-to-body ratio)",HSDPA 2100,,,,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7200A,HTC,"TFT resistive touchscreen, 256K colors (65K effective)","2.1, A2DP",Removable Li-Ion 1500 mAh battery,,MP3/WAV/WMV/eAAC+ playerMP4/WMV/H.264 playerPocket OfficeOrganizerPhoto editorVoice memo/dial/commandsPredictive text input,HTC Touch Diamond2 CDMA,About 150 EUR,"2009, December. Released 2009, December",Accelerometer,,,2.0,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",1.34 W/kg (head)     0.47 W/kg (body),,118.1 x 61.7 x 14 mm (4.65 x 2.43 x 0.55 in),Yes,"5 MP, AF",CDMA2000 1xEV-DO,microSDHC (dedicated slot),,,,,"HSPA 7.2/2 Mbps, EV-DO Rev.A 3.1 Mbps",Black,,,GSM / CDMA / HSPA / EVDO,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-imagio-verizon.jpg,"GPS, A-GPS",HTML,,Up to 324 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.5 Professional,Mini-SIM,,,150.3 g (5.29 oz),Yes,"480 x 800 pixels, 5:3 ratio (~259 ppi density)",528 MHz ARM 11,,TouchFLO 3D finger swipe navigationHandwriting recognition,,,,,,,Yes
TouchFLO 3D finger swipe navigationTouch-sensitive zoom barHandwriting recognition,,,,,Yes,Up to 5 h,,"3.2 inches, 29.1 cm2(~50.9% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 69dB / Noise 66dB / Ring 76dB,,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7200A,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1100 mAh battery,,,HTC Touch Diamond2,About 150 EUR,"2009, February. Released 2009, April",Accelerometer,,,miniUSB,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",0.78 W/kg (head)     1.46 W/kg (body),,107.9 x 53.1 x 13.7 mm (4.25 x 2.09 x 0.54 in),480p@15fps,"5 MP, AF",Pocket OfficeVoice memoMP3 player,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,Noise -86.9dB / Crosstalk -86dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-diamond2.jpg,"GPS, A-GPS",HTML,,Up to 500 h,GSM 850 / 900 / 1800 / 1900,,"Microsoft Windows Mobile 6.1 Professional, upgradable to Windows Mobile 6.5",Mini-SIM,,,117.5 g (4.13 oz),VGA videocall camera,"480 x 800 pixels, 5:3 ratio (~292 ppi density)",528 MHz ARM 11,,,,,,,,,No
HSDPA 1700 / 2100 - American version,,,,,Yes,Up to 5 h 20 min,,"3.2 inches, 30.5 cm2(~46.5% screen-to-body ratio)",HSDPA 2100,,,,,Discontinued,No,,Qualcomm MSM7201A,HTC,"TFT, 65K colors","2.0, A2DP (headset support only)",Removable Li-Ion 1150 mAh battery,,Voice memoMP3 player,HTC Dream,About 150 EUR,"2009, February. Released 2009, June","Accelerometer, compass",,,miniUSB,,Wi-Fi 802.11 b/g,Adreno 130,,"192MB RAM, 256MB",1.07 W/kg (head)     1.20 W/kg (body),,117.7 x 55.7 x 17.1 mm (4.63 x 2.19 x 0.67 in),Yes,"3.15 MP, AF",Trackball,microSD (dedicated slot),,,,,HSPA 7.2/2 Mbps,Black,,QWERTY,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-dream.jpg,GPS,HTML,,Up to 406 h,GSM 850 / 900 / 1800 / 1900,,Android 1.6 (Donut),Mini-SIM,,,158 g (5.57 oz),,"320 x 480 pixels, 3:2 ratio (~180 ppi density)",528 MHz ARM 11,,No,,,,,,,No
TouchFLO finger swipe navigationHandwriting recognition5-way navigation,,,,,Yes,Up to 6 h 30 min,,"2.8 inches, 24.3 cm2(~44.5% screen-to-body ratio)",HSDPA 900 / 2100,,,,,Discontinued,No,,Qualcomm MSM7225 Snapdragon S1,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1100 mAh battery,,,HTC Touch Cruise 09,About 150 EUR,"2009, January. Released 2009, February",,,,miniUSB 2.0,,Wi-Fi 802.11 b/g,No,,"256MB RAM, 512MB ROM",0.47 W/kg (head)     1.34 W/kg (body),,102 x 53.5 x 14.5 mm (4.02 x 2.11 x 0.57 in),Yes,3.15 MP,No,microSD (dedicated slot),,,,,HSPA 7.2/0.384 Mbps,Black,,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-touch-cruise-09.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML (PocketIE)",,Up to 400 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,,,103 g (3.63 oz),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",528 MHz ARM 11,,HTC FootprintsPocket OfficeVoice memoMP3/AAC player3GP/MP4/WMV/AVI player,,,,,,,No
TouchFLO 3D finger swipe navigationHandwriting recognition,,,,,Yes,Up to 7 h,,"3.8 inches, 41.1 cm2(~57.4% screen-to-body ratio)",,,Voice 70dB / Noise 80dB / Ring 66dB,,,Discontinued,No,,Qualcomm ESM7206A,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1500 mAh battery,,,HTC MAX 4G,About 310 EUR,"2008, November. Released 2009","Accelerometer, proximity",,,miniUSB,,"Wi-Fi 802.11 b/g, WiMAX 802.16 e",Adreno 130,Class 10,8GB 288MB RAM,,,113.5 x 63.1 x 13.9 mm (4.47 x 2.48 x 0.55 in),CIF@30fps,"3.15 MP, AF",Yota Mobile WiMAX 2.5-2.7 GHzYota TVMP3/MP4 playerPocket OfficeVoice memoPredictive text input,microSD (dedicated slot),,,,,,Black,,,GSM,,,,Noise -85.2dB / Crosstalk -75.0dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-max-4g.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML",,Up to 350 h,GSM 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,,,151 g (5.33 oz),VGA videocall camera,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",400 MHz ARM 11,Class 10,,,,,,,,Yes
TouchFLO 3D finger swipe navigationHandwriting recognition,,,,,Yes,,,"3.8 inches, 41.1 cm2(~56.9% screen-to-body ratio)",HSDPA 850 / 2100,,,,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7201A,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1350 mAh battery,,,HTC Touch HD T8285,About 280 EUR,"2008, October. Released 2008, December","Accelerometer, proximity",,,miniUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",,,115 x 62.8 x 12 mm (4.53 x 2.47 x 0.47 in),CIF@30fps,"5 MP, AF",MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerMS Office Mobile document editorOrganizerYouTube clientVoice memoPredictive text input,"microSDHC (dedicated slot), 8 GB included",,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/HTC-Touch-HD-T8285-Blackstone.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML (Opera 9.5)",,,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,,,146 g (5.15 oz),VGA videocall camera,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",528 MHz ARM 11,,,,,,,,,Yes
TouchFLO 3D finger swipe navigationHandwriting recognition,,,,,Yes,Up to 6 h 30 min,,"3.8 inches, 41.1 cm2(~56.9% screen-to-body ratio)",HSDPA 900 / 2100,,Voice 77dB / Noise 73dB / Ring 76dB,,,Discontinued,"Stereo FM radio, RDS",,Qualcomm MSM7201A,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1350 mAh battery,,,HTC Touch HD,About 290 EUR,"2008, September. Released 2008, November","Accelerometer, proximity",,,miniUSB 2.0,,Wi-Fi 802.11 b/g,Adreno 130,,"288MB RAM, 512MB ROM",0.72 W/kg (head)     1.02 W/kg (body),,115 x 62.8 x 12 mm (4.53 x 2.47 x 0.47 in),CIF@30fps,"5 MP, AF",MP3/WAV/WMA/eAAC+ playerMP4/H.264 playerMS Office Mobile document editorOrganizerYouTube clientVoice memoPredictive text input,"microSDHC (dedicated slot), 8 GB included",,,,,HSPA 7.2/2 Mbps,Black,,,GSM / HSPA,,,,Noise -86.7dB / Crosstalk -86.1dB,,,https://fdn2.gsmarena.com/vv/bigpic/htc-touch--hd.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML",,Up to 450 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,,,146 g (5.15 oz),VGA videocall camera,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",528 MHz ARM 11,,,,,,,,,Yes
TouchFLO finger swipe navigationHandwriting recognition5-way navigation,,,,,Yes,Up to 6 h 30 min,,"2.8 inches, 24.3 cm2(~44.4% screen-to-body ratio)",HSDPA 900 / 2100,,,,,Discontinued,No,,Qualcomm MSM7225 Snapdragon S1,HTC,"TFT resistive touchscreen, 65K colors","2.0, A2DP",Removable Li-Ion 1100 mAh battery,,,HTC Touch 3G,About 200 EUR,"2008, September. Released 2008, November",,,,miniUSB,,Wi-Fi 802.11 b/g,No,,"192MB RAM, 256MB ROM",0.61 W/kg (head)     1.81 W/kg (body),,102 x 53.6 x 14.5 mm (4.02 x 2.11 x 0.57 in),Yes,3.15 MP,No,microSD (dedicated slot),,,,,HSPA 7.2/0.384 Mbps,"Sophisticated black, Noble gold, Sparkle blue, Modern brown",,,GSM / HSPA,,,,,,,https://fdn2.gsmarena.com/vv/bigpic/htc-touch--3g.jpg,"GPS, A-GPS","WAP 2.0/xHTML, HTML (PocketIE)",,Up to 450 h,GSM 850 / 900 / 1800 / 1900,,Microsoft Windows Mobile 6.1 Professional,Mini-SIM,,,96 g (3.39 oz),,"240 x 320 pixels, 4:3 ratio (~143 ppi density)",528 MHz ARM 11,,Pocket OfficeVoice memoMP3/AAC player,,,,,,,No
